,Unnamed: 0,Data,ID,url,username,source,location,content,num_of_likes,num_of_retweet,processed_content
0,0,2023-02-28 13:29:11+00:00,1630560750690353152,https://twitter.com/SubbotaAnton83/status/1630560750690353152,SubbotaAnton83,Twitter Web App,Unknown,@GAGARIN_World @thefutureofwork Hey friends just look at this! @Ommniverse_Ai  @playbithotel  @Colizeumcom,0,0,@GAGARIN_World @thefutureofwork Hey friends just look at this! @Ommniverse_Ai  @playbithotel  @Colizeumcom
1,1,2023-02-28 13:29:11+00:00,1630560746919559171,https://twitter.com/David_N_Gordon/status/1630560746919559171,David_N_Gordon,Paper.li,London,The latest edition of Creative and Tech Daily! https://t.co/TfaKthWcn5 Thanks to @futureinreview #ai #technology,0,0,The latest edition of Creative and Tech Daily! https://t.co/TfaKthWcn5 Thanks to @futureinreview #ai #technology
2,2,2023-02-28 13:29:10+00:00,1630560746596704257,https://twitter.com/Rudedude55/status/1630560746596704257,Rudedude55,Twitter Web App,"Ontario, Canada","@TimTim87505914 Like, I genuinely have no idea if you're a real person or just an AI trained on how to talk by being given endless Fox News transcripts.

Next you'll blame Trudeau for the gun laws being too strict or something.",0,0,"@TimTim87505914 Like, I genuinely have no idea if you're a real person or just an AI trained on how to talk by being given endless Fox News transcripts.

Next you'll blame Trudeau for the gun laws being too strict or something."
3,3,2023-02-28 13:29:09+00:00,1630560739315384323,https://twitter.com/dansblueside/status/1630560739315384323,dansblueside,Twitter Web App,Unknown,@gguklovemaze pascoarmy vem ai,0,0,@gguklovemaze pascoarmy vem ai
4,4,2023-02-28 13:29:08+00:00,1630560734902976512,https://twitter.com/StevenKae1/status/1630560734902976512,StevenKae1,Twitter Web App,Unknown,"Tomb Raider : The Last Revelation Remake.
Oh if only... If it ever happens I'll scream till I can't no more. 
Made with AI 
#TombRaider #TR #LaraCroft https://t.co/U7l4ZrpcM3",0,0,"Tomb Raider : The Last Revelation Remake.
Oh if only... If it ever happens I'll scream till I can't no more. 
Made with AI 
#TombRaider #TR #LaraCroft https://t.co/U7l4ZrpcM3"
5,5,2023-02-28 13:29:06+00:00,1630560727827185664,https://twitter.com/BestThinkTwice/status/1630560727827185664,BestThinkTwice,Twitter Web App,Ohio,"@tszzl Gonna go tell my friends that the ai guy I follow is into lain, that'll help them sleep more peacefully tonight",0,0,"@tszzl Gonna go tell my friends that the ai guy I follow is into lain, that'll help them sleep more peacefully tonight"
6,6,2023-02-28 13:29:06+00:00,1630560726086459394,https://twitter.com/channel969/status/1630560726086459394,channel969,Channel969,Unknown,"The Download: making Bitcoin greener, and Elon Muskâs chatbot plans 
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #AI 
https://t.co/k6nsKbtXRG
 
This is todayâs edition ofÂ The Download,Â our weekday newsletter that provides a daily dose of whatâs going on in the world... https://t.co/v0TjaKvc71",0,0,"The Download: making Bitcoin greener, and Elon Musks chatbot plans 
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #AI 
https://t.co/k6nsKbtXRG
 
This is todays edition ofThe Download,our weekday newsletter that provides a daily dose of whats going on in the world... https://t.co/v0TjaKvc71"
7,7,2023-02-28 13:29:06+00:00,1630560725872660481,https://twitter.com/JohnLoader6/status/1630560725872660481,JohnLoader6,Twitter for iPad,The Marches.,@MilenaZP_ But if Wales was and England not Iâd need customs 10 feet outside my front door as the border goes through the garden.,0,0,@MilenaZP_ But if Wales was and England not Id need customs 10 feet outside my front door as the border goes through the garden.
8,8,2023-02-28 13:29:01+00:00,1630560707266617344,https://twitter.com/VUXworld/status/1630560707266617344,VUXworld,Buffer,"England, United Kingdom","Register for our exclusive webinar with Kore AI here - https://t.co/rqmMAbKPkP 

You will learn:

What is hype and what is realistic when it comes to LLMs and their potential 

How https://t.co/Sswi5AHxcP leverages LLMs in the XO Platform to deliver enterprise value 

And more... https://t.co/OnVWp2AIZD",0,0,"Register for our exclusive webinar with Kore AI here - https://t.co/rqmMAbKPkP 

You will learn:

What is hype and what is realistic when it comes to LLMs and their potential 

How https://t.co/Sswi5AHxcP leverages LLMs in the XO Platform to deliver enterprise value 

And more... https://t.co/OnVWp2AIZD"
9,9,2023-02-28 13:29:01+00:00,1630560705790238720,https://twitter.com/AIartdayz/status/1630560705790238720,AIartdayz,Twitter for Android,Polygon,@mrgreen Interesting ð,0,0,@mrgreen Interesting 
